path,tracked,size_bytes,mtime_epoch,path_refs,name_refs,score,class,reason
.aiwg/reports/elixir_probe_pack_2_2_latest.log,0,565,1779156540,0,1,0,seguro,temp_pattern
.aiwg/reports/go_internal_skill_probe_pack_2_2_latest.log,0,57,1779153920,0,0,0,seguro,temp_pattern
.aiwg/reports/go_probe_pack_2_2_latest.log,0,137,1779156539,0,1,0,seguro,temp_pattern
.aiwg/reports/go_probe_pack_2_2_module_latest.log,0,1002,1779153915,0,0,0,seguro,temp_pattern
.aiwg/reports/go_sidecar_probe_pack_2_2_latest.log,0,0,1779153926,0,0,0,seguro,temp_pattern
.aiwg/reports/python_probe_pack_2_2_latest.log,0,173,1779156543,0,1,0,seguro,temp_pattern
.aiwg/reports/shell_probe_pack_2_2_latest.log,0,91,1779156540,0,1,0,seguro,temp_pattern
.aiwg/reports/validation_logs/AIWG_KERNEL_0.2/stderr.log,0,172,1779164232,0,4,1,seguro,temp_pattern
.aiwg/reports/validation_logs/AIWG_KERNEL_0.2/stdout.log,0,2372,1779164232,0,5,1,seguro,temp_pattern
.aiwg/reports/validation_logs/PACK_3.2/stderr.log,0,660,1779169219,0,4,1,seguro,temp_pattern
.aiwg/reports/validation_logs/PACK_3.2/stdout.log,0,8365,1779169219,0,5,1,seguro,temp_pattern
.aiwg/reports/validation_logs/PACK_4.0/stderr.log,0,213,1779169592,0,4,1,seguro,temp_pattern
.aiwg/reports/validation_logs/PACK_4.0/stdout.log,0,206,1779169592,0,5,1,seguro,temp_pattern
.aiwg/reports/validation_logs/PACK_4.1/stderr.log,0,172,1779170002,2,4,3,revisar,path_referenced
.aiwg/reports/validation_logs/PACK_4.1/stdout.log,0,658,1779170002,2,5,3,revisar,path_referenced
audit_raw.log,0,5787,1777357818,4,4,3,revisar,path_referenced
gateway_sovereign.log,0,648,1777379524,4,4,3,revisar,path_referenced
l0.log,0,695,1777250016,7,7,3,revisar,path_referenced
l0_elixir.log,0,103391,1778498785,2,2,2,revisar,path_referenced
l0_go.log,0,249,1778499700,2,2,2,revisar,path_referenced
l0_monitor.log,0,1516,1777380245,4,4,3,revisar,path_referenced
l1.log,0,80,1778498784,9,9,3,revisar,path_referenced
layers/l0_overseer/monitor_active.log,0,114,1777073802,4,6,3,revisar,path_referenced
layers/l1_nervous/memory_server.log,0,1417,1777073585,6,8,3,revisar,path_referenced
layers/l1_nervous/memory_server_go_run.log,0,426,1777067554,4,6,3,revisar,path_referenced
layers/l1_nervous/memory_server_sovereign.log,0,130,1778295897,5,7,3,revisar,path_referenced
mcp.log,0,236,1778495614,6,6,3,revisar,path_referenced
mcp_server.log,0,432,1777067732,6,6,3,revisar,path_referenced
memory.log,0,632,1778495615,4,4,3,revisar,path_referenced
memory_sovereign.log,0,554,1777379520,4,4,3,revisar,path_referenced
monitor.log,0,114,1778499700,8,8,3,revisar,path_referenced
state/doctor_post_raw.log,0,4581,1778295907,1,1,2,revisar,path_referenced
state/doctor_pre_raw.log,0,2588,1778335607,1,1,2,revisar,path_referenced
